Network,Ego,Alter
WhoHelpsChildcare,LB2690,LB2722
WhoHelpsChildcare,LB2690,LB2691
WhoHelpsChildcare,LB2690,LB2718
SlaughterHelp,LB2690,LB2721
SlaughterHelp,LB2690,LB2717
SlaughterHelp,LB2690,LB2729
SlaughterHelp,LB2690,LB2732
SlaughterHelp,LB2690,LB2723
BorrowMoneyFrom,LB2690,LB2773
BorrowMoneyFrom,LB2690,LB2699
WhoRideWith,LB2690,LB9011
WhoRideWith,LB2690,LB9012
HelpHomeRepair,LB2690,LB9012
HelpHomeRepair,LB2690,LB2721
HelpHomeRepair,LB2690,LB2699
HelpHomeRepair,LB2690,LB2692
HelpHomeRepair,LB2690,LB2694
HelpHomeRepair,LB2690,LB2712
HelpHomeRepair,LB2690,LB2704
WhoHelpsPrepCommMeals,LB2690,LB2722
WhoHelpsPrepCommMeals,LB2690,LB2718
WhoHelpsPrepCommMeals,LB2690,LB2705
WhoHelpsPrepCommMeals,LB2690,LB2713
WhoHelpsPrepCommMeals,LB2690,LB2734
WomenHangOutAfterDinner,LB2690,LB2722
WomenHangOutAfterDinner,LB2690,LB2718
WomenHangOutAfterDinner,LB2690,LB2700
MenHangOutAfterDinner,LB2690,LB2721
MenHangOutAfterDinner,LB2690,LB2717
MenHangOutAfterDinner,LB2690,LB2699
MenHangOutAfterDinner,LB2690,LB2712
GovtNGO,LB2690,LB9013
InfluentialPeopleOutsideLabai,LB2690,LB9011
InfluentialPeopleOutsideLabai,LB2690,LB9012
Relations,LB2690,LB9011
Relations,LB2690,LB9012
Relations,LB2690,LB9013
Relations,LB2690,LB2691
Relations,LB2690,LB2717
Relations,LB2690,LB2732
Relations,LB2690,LB2773
Relations,LB2690,LB2699
Relations,LB2690,LB2692
Relations,LB2690,LB2694
HelpHarvest,LB2699,LB2712
HelpHarvest,LB2699,LB2729
HelpHarvest,LB2699,LB2732
HelpHarvest,LB2699,LB2743
HelpHarvest,LB2699,LB2741
SlaughterHelp,LB2699,LB2712
SlaughterHelp,LB2699,LB2729
SlaughterHelp,LB2699,LB2732
SlaughterHelp,LB2699,LB2767
SlaughterHelp,LB2699,LB2769
FarmEquipFrom,LB2699,LB2712
FarmEquipTo,LB2699,LB2712
FarmEquipTo,LB2699,LB2732
BorrowMoneyFrom,LB2699,LB2773
LendMoneyTo,LB2699,LB2732
HelpHomeRepair,LB2699,LB2712
HelpHomeRepair,LB2699,LB2729
HelpHomeRepair,LB2699,LB2732
WhoHelpsPrepCommMeals,LB2699,LB2771
WhoHelpsPrepCommMeals,LB2699,LB2696
WomenHangOutAfterDinner,LB2699,LB2743
WomenHangOutAfterDinner,LB2699,LB2730
MenHangOutAfterDinner,LB2699,LB2712
MenHangOutAfterDinner,LB2699,LB2732
MenHangOutAfterDinner,LB2699,LB2767
MenHangOutAfterDinner,LB2699,LB2773
MenHangOutAfterDinner,LB2699,LB2694
MenHangOutAfterDinner,LB2699,LB6083
InfluentialPeopleOutsideLabai,LB2699,LB2742
Relations,LB2699,LB2742
Relations,LB2699,LB2732
Relations,LB2699,LB2743
Relations,LB2699,LB2741
Relations,LB2699,LB2767
Relations,LB2699,LB2769
Relations,LB2699,LB2773
Relations,LB2699,LB2694
Relations,LB2699,LB6083
Relations,LB2699,LB2730
WhoHelpsChildcare,LB2705,LB7011
WhoHelpsChildcare,LB2705,LB7012
HelpHarvest,LB2705,LB2700
HelpHarvest,LB2705,LB2701
HelpHarvest,LB2705,LB9035
HelpHarvest,LB2705,LB9036
SlaughterHelp,LB2705,LB2701
SlaughterHelp,LB2705,LB2769
SlaughterHelp,LB2705,LB2735
SlaughterHelp,LB2705,LB2723
SlaughterHelp,LB2705,LB2694
FarmEquipTo,LB2705,LB2699
BorrowMoneyFrom,LB2705,LB2699
BorrowMoneyFrom,LB2705,LB9037
BorrowMoneyFrom,LB2705,LB9038
WhoRideWith,LB2705,LB2701
WhoRideWith,LB2705,LB2694
WhoRideWith,LB2705,LB2771
WhoRideWith,LB2705,LB2795
WhoRideWith,LB2705,LB2717
HelpHomeRepair,LB2705,LB2701
HelpHomeRepair,LB2705,LB2769
HelpHomeRepair,LB2705,LB2699
HelpHomeRepair,LB2705,LB9037
HelpHomeRepair,LB2705,LB9038
HelpHomeRepair,LB2705,LB2795
HelpHomeRepair,LB2705,LB2717
WhoHelpsPrepCommMeals,LB2705,LB9035
WhoHelpsPrepCommMeals,LB2705,LB9036
WomenHangOutAfterDinner,LB2705,LB2700
WomenHangOutAfterDinner,LB2705,LB2741
MenHangOutAfterDinner,LB2705,LB2773
InfluentialPeopleOutsideLabai,LB2705,LB9039
Relations,LB2705,LB7011
Relations,LB2705,LB7012
Relations,LB2705,LB2701
Relations,LB2705,LB2769
Relations,LB2705,LB2699
Relations,LB2705,LB9037
Relations,LB2705,LB9038
Relations,LB2705,LB2795
Relations,LB2705,LB2717
Relations,LB2705,LB2741
Relations,LB2705,LB2773
Relations,LB2705,LB9039
HelpHarvest,LB2712,LB2701
HelpHarvest,LB2712,LB2732
SlaughterHelp,LB2712,LB2701
SlaughterHelp,LB2712,LB2729
SlaughterHelp,LB2712,LB2749
FarmEquipFrom,LB2712,LB2759
FarmEquipFrom,LB2712,LB2717
FarmEquipTo,LB2712,LB2759
FarmEquipTo,LB2712,LB2717
BorrowMoneyFrom,LB2712,LB2729
BorrowMoneyFrom,LB2712,LB2773
LendMoneyTo,LB2712,LB2759
LendMoneyTo,LB2712,LB2717
WhoRideWith,LB2712,LB2771
HelpHomeRepair,LB2712,LB2701
HelpHomeRepair,LB2712,LB2732
HelpHomeRepair,LB2712,LB2729
HelpHomeRepair,LB2712,LB2699
WhoHelpsPrepCommMeals,LB2712,LB2730
WhoHelpsPrepCommMeals,LB2712,LB2700
MenHangOutAfterDinner,LB2712,LB2729
MenHangOutAfterDinner,LB2712,LB2699
MenHangOutAfterDinner,LB2712,LB2773
GovtNGO,LB2712,LB2773
InfluentialPeopleOutsideLabai,LB2712,LB9008
InfluentialPeopleOutsideLabai,LB2712,LB9009
Relations,LB2712,LB2701
Relations,LB2712,LB2732
Relations,LB2712,LB2729
Relations,LB2712,LB2749
Relations,LB2712,LB9008
Relations,LB2712,LB9009
Relations,LB2712,LB2699
