Network,Ego,Alter
BorrowMoneyFrom,YN1883,YN3473
BorrowMoneyFrom,YN1883,YN1918
LendMoneyTo,YN1883,YN3473
LendMoneyTo,YN1883,YN1918
FarmEquipTo,YN1883,YN2001
FarmEquipTo,YN1883,YN1997
WhoHelpsChildcare,YN1883,YN1881
HelpHarvest,YN1883,YN3473
HelpHarvest,YN1883,YN3395
WomenHangOutAfterDinner,YN1883,YN1996
WomenHangOutAfterDinner,YN1883,YN2001
WomenHangOutAfterDinner,YN1883,YN1942
WomenHangOutAfterDinner,YN1883,YN1914
MenHangOutAfterDinner,YN1883,YN2004
MenHangOutAfterDinner,YN1883,YN1982
WhoHelpsPrepCommMeals,YN1883,YN9004
WhoHelpsPrepCommMeals,YN1883,YN1942
WhoHelpsPrepCommMeals,YN1883,YN2001
WhoHelpsPrepCommMeals,YN1883,YN1996
WhoHelpsPrepCommMeals,YN1883,YN1914
Relations,YN1883,YN3473
BorrowMoneyFrom,YN1886,YN9011
LendMoneyTo,YN1886,YN1892
LendMoneyTo,YN1886,YN9012
FarmEquipFrom,YN1886,YN2174
WhoHelpsChildcare,YN1886,YN1888
WhoHelpsChildcare,YN1886,YN2174
HelpHarvest,YN1886,YN2154
HelpHarvest,YN1886,YN2174
HelpHarvest,YN1886,YN2001
HelpHomeRepair,YN1886,YN2174
HelpHomeRepair,YN1886,YN2154
WomenHangOutAfterDinner,YN1886,YN1997
WomenHangOutAfterDinner,YN1886,YN1883
WhoHelpsPrepCommMeals,YN1886,YN9004
GovtNGO,YN1886,YN9013
Relations,YN1886,YN9011
BorrowMoneyFrom,YN1896,YN1914
BorrowMoneyFrom,YN1896,YN9005
FarmEquipFrom,YN1896,YN1909
FarmEquipTo,YN1896,YN1909
WhoHelpsChildcare,YN1896,YN1909
HelpHarvest,YN1896,YN9006
HelpHarvest,YN1896,YN1909
WomenHangOutAfterDinner,YN1896,YN1883
WomenHangOutAfterDinner,YN1896,YN1942
WomenHangOutAfterDinner,YN1896,YN1914
WomenHangOutAfterDinner,YN1896,YN1888
WomenHangOutAfterDinner,YN1896,YN2001
MenHangOutAfterDinner,YN1896,YN9007
MenHangOutAfterDinner,YN1896,YN9008
MenHangOutAfterDinner,YN1896,YN9009
MenHangOutAfterDinner,YN1896,YN9010
WhoHelpsPrepCommMeals,YN1896,YN1883
WhoHelpsPrepCommMeals,YN1896,YN1942
WhoHelpsPrepCommMeals,YN1896,YN1914
