"HHID","Ego1","Ego2","Ego2certainty","SharingUnitID","Ego1M","Ego2M"
62001,"YN1883","YN1882",0.99,"YNSU223",0,1
62002,"YN1896","YN1897",0.9,"YNSU225",0,1
62201,"YN1886",NA,NA,"YNSU224",0,NA
62202,"YN1909",NA,NA,"YNSU227",0,NA
62203,"YN1928","YN1930",0.8,"YNSU230",0,1
62204,"YN1906",NA,NA,"YNSU226",1,NA
62301,"YN1970",NA,NA,"YNSU236",1,NA
62302,"YN1950",NA,NA,"YNSU234",1,NA
62303,"YN1997","YN1994",0.8,"YNSU239",0,1
62304,"YN2028","YN2025",0.99,"YNSU244",1,0
62305,"YN2038","YN2041",0.7,"YNSU246",0,1
62401,"YN1981","YN1982",0.8,"YNSU237",0,1
62402,"YN2019","YN2017",0.5,"YNSU243",1,0
62403,"YN2001","YN2002",0.99,"YNSU240",0,1
62404,"YN2152","YN2153",0.99,"YNSU266",0,1
62405,"YN2129",NA,NA,"YNSU262",0,NA
62501,"YN1962",NA,NA,"YNSU235",1,NA
62502,"YN2007","YN2004",0.99,"YNSU241",0,1
62503,"YN1987","YN1988",0.7,"YNSU238",1,0
62504,"YN2042","YN2045",0.8,"YNSU247",0,1
62505,"YN2034",NA,NA,"YNSU249",0,NA
62601,"YN2008",NA,NA,"YNSU242",0,NA
62602,"YN2035",NA,NA,"YNSU245",1,NA
62603,"YN2050",NA,NA,"YNSU248",1,NA
62604,"YN2062",NA,NA,"YNSU251",1,NA
62605,"YN2076",NA,NA,"YNSU253",0,NA
62606,"YN2085","YN2086",0.9,"YNSU255",0,1
62607,"YN2099","YN2091",0.4,"YNSU256",0,1
62701,"YN1934","YN1935",0.8,"YNSU231",1,0
62702,"YN2060",NA,NA,"YNSU250",1,NA
62801,"YN2072",NA,NA,"YNSU252",0,NA
62802,"YN2117",NA,NA,"YNSU259",1,NA
62803,"YN2101","YN2103",0.5,"YNSU257",0,1
62804,"YN2126","YN2123",0.8,"YNSU261",1,0
62805,"YN2121",NA,NA,"YNSU260",0,NA
62806,"YN2142","YN2144",0.9,"YNSU265",1,0
62807,"YN2132","YN2133",0.9,"YNSU263",0,1
62808,"YN2081","YN2000",NA,"YNSU254",0,1
70201,"YN1918","YN1919",0.9,"YNSU228",1,0
70202,"YN1923","YN1922",0.8,"YNSU229",1,0
